id,framework,domain,sub_domain,control
ISO27001:2022-A.6.6,ISO27001:2022,6 People controls,Confidentiality or non-disclosure agreements,"Confidentiality or non-disclosure agreements reflecting the organization’s needs for the protection of information shall be identified, documented, regularly reviewed and signed by personnel and other relevant interested parties."
ISO27001:2022-A.6.7,ISO27001:2022,6 People controls,Remote working,"Security measures shall be implemented when personnel are working remotely to protect information accessed, processed or stored outside the organization’s premises."
ISO27001:2022-A.6.8,ISO27001:2022,6 People controls,Information security event reporting,The organization shall provide a mechanism for personnel to report observed or suspected information security events through appropriate channels in a timely manner.
ISO27001:2022-A.7.1,ISO27001:2022,7 Physical controls,Physical security perimeters,Security perimeters shall be defined and used to protect areas that contain information and other associated assets.
ISO27001:2022-A.7.2,ISO27001:2022,7 Physical controls,Physical entry,Secure areas shall be protected by appropriate entry controls and access points.
ISO27001:2022-A.7.3,ISO27001:2022,7 Physical controls,"Securing offices, rooms and facilities","Physical security for offices, rooms and facilities shall be designed and implemented."
ISO27001:2022-A.7.4,ISO27001:2022,7 Physical controls,Physical security monitoring,Premises shall be continuously monitored for unauthorized physical access.
ISO27001:2022-A.7.5,ISO27001:2022,7 Physical controls,Protecting against physical and environmental threats,"Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented."
ISO27001:2022-A.7.6,ISO27001:2022,7 Physical controls,Working in secure areas,Security measures for working in secure areas shall be designed and implemented.
ISO27001:2022-A.7.7,ISO27001:2022,7 Physical controls,Clear desk and clear screen,Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.
ISO27001:2022-A.7.8,ISO27001:2022,7 Physical controls,Equipment siting and protection ,Equipment shall be sited securely and protected.
ISO27001:2022-A.7.9,ISO27001:2022,7 Physical controls,Security of assets off-premises,Off-site assets shall be protected.
ISO27001:2022-A.7.10,ISO27001:2022,7 Physical controls,Storage media,"Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements."
ISO27001:2022-A.7.11,ISO27001:2022,7 Physical controls,Supporting utilities,Information processing facilities shall be protected from power failures and other disruptions caused by failures in supporting utilities.
ISO27001:2022-A.7.12,ISO27001:2022,7 Physical controls,Cabling security,"Cables carrying power, data or supporting information services shall be protected from interception, interference or damage."
ISO27001:2022-A.7.13,ISO27001:2022,7 Physical controls,Equipment maintenance,"Equipment shall be maintained correctly to ensure availability, integrity and confidentiality of information."
ISO27001:2022-A.7.14,ISO27001:2022,7 Physical controls,Secure disposal or re-use of equipment,Items of equipment containing storage media shall be verified to ensure that any sensitive data and licensed software has been removed or securely overwritten prior to disposal or re-use.
ISO27001:2022-A.8.1,ISO27001:2022,8 Technological controls,User end point devices,"Information stored on, processed by or accessible via user end point devices shall be protected."
ISO27001:2022-A.8.2,ISO27001:2022,8 Technological controls,Privileged access rights,The allocation and use of privileged access rights shall be restricted and managed.
ISO27001:2022-A.8.3,ISO27001:2022,8 Technological controls,Information access restriction,Access to information and other associated assets shall be restricted in accordance with the established topic-specific policy on access control.
ISO27001:2022-A.8.4,ISO27001:2022,8 Technological controls,Access to source code,"Read and write access to source code, development tools and software libraries shall be appropriately managed."
ISO27001:2022-A.8.5,ISO27001:2022,8 Technological controls,Secure authentication,Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.
ISO27001:2022-A.8.6,ISO27001:2022,8 Technological controls,Capacity management,The use of resources shall be monitored and adjusted in line with current and expected capacity requirements.
ISO27001:2022-A.8.7,ISO27001:2022,8 Technological controls,Protection against malware,Protection against malware shall be implemented and supported by appropriate user awareness.
ISO27001:2022-A.8.8,ISO27001:2022,8 Technological controls,Management of technical vulnerabilities,"Information about technical vulnerabilities of information systems in use shall be obtained, the organization’s exposure to such vulnerabilities shall be evaluated and appropriate measures shall be taken."
ISO27001:2022-A.8.9,ISO27001:2022,8 Technological controls,Configuration management,"Configurations, including security configurations, of hardware, software, services and networks shall be established, documented, implemented, monitored and reviewed."
ISO27001:2022-A.8.10,ISO27001:2022,8 Technological controls,Information deletion,"Information stored in information systems, devices or in any other storage media shall be deleted when no longer required."
ISO27001:2022-A.8.11,ISO27001:2022,8 Technological controls,Data masking,"Data masking shall be used in accordance with the organization’s topic-specific policy on access control and other related topic-specific policies, and business requirements, taking applicable legislation into consideration."
ISO27001:2022-A.8.12,ISO27001:2022,8 Technological controls,Data leakage prevention,"Data leakage prevention measures shall be applied to systems, networks and any other devices that process, store or transmit sensitive information."
ISO27001:2022-A.8.13,ISO27001:2022,8 Technological controls,Information backup,"Backup copies of information, software and systems shall be maintained and regularly tested in accordance with the agreed topic-specific policy on backup."
ISO27001:2022-A.8.14,ISO27001:2022,8 Technological controls,Redundancy of information processing facilities,Information processing facilities shall be implemented with redundancy sufficient to meet availability requirements.
ISO27001:2022-A.8.15,ISO27001:2022,8 Technological controls,Logging,"Logs that record activities, exceptions, faults and other relevant events shall be produced, stored, protected and analysed."
ISO27001:2022-A.8.16,ISO27001:2022,8 Technological controls,Monitoring activities,"Networks, systems and applications shall be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents."
ISO27001:2022-A.8.17,ISO27001:2022,8 Technological controls,Clock synchronization,The clocks of information processing systems used by the organization shall be synchronized to approved time sources.
ISO27001:2022-A.8.18,ISO27001:2022,8 Technological controls,Use of privileged utility programs,The use of utility programs that can be capable of overriding system and application controls shall be restricted and tightly controlled.
ISO27001:2022-A.8.19,ISO27001:2022,8 Technological controls,Installation of software on operational systems,Procedures and measures shall be implemented to securely manage software installation on operational systems.
ISO27001:2022-A.8.20,ISO27001:2022,8 Technological controls,Networks security,"Networks and network devices shall be secured, managed and controlled to protect information in systems and applications."
ISO27001:2022-A.8.21,ISO27001:2022,8 Technological controls,Security of network services,"Security mechanisms, service levels and service requirements of network services shall be identified, implemented and monitored."
ISO27001:2022-A.8.22,ISO27001:2022,8 Technological controls,Segregation of networks,"Groups of information services, users and information systems shall be segregated in the organization’s networks."
ISO27001:2022-A.8.23,ISO27001:2022,8 Technological controls,Web filtering,Access to external websites shall be managed to reduce exposure to malicious content.
ISO27001:2022-A.8.24,ISO27001:2022,8 Technological controls,Use of cryptography,"Rules for the effective use of cryptography, including cryptographic key management, shall be defined and implemented."
ISO27001:2022-A.8.25,ISO27001:2022,8 Technological controls,Secure development life cycle,Rules for the secure development of software and systems shall be established and applied.
ISO27001:2022-A.8.26,ISO27001:2022,8 Technological controls,Application security requirements,"Information security requirements shall be identified, specified and approved when developing or acquiring applications."
ISO27001:2022-A.8.27,ISO27001:2022,8 Technological controls,Secure system architecture and engineering principles,"Principles for engineering secure systems shall be established, documented, maintained and applied to any information system development activities."
ISO27001:2022-A.8.28,ISO27001:2022,8 Technological controls,Secure coding,Secure coding principles shall be applied to software development.
ISO27001:2022-A.8.29,ISO27001:2022,8 Technological controls,Security testing in development and acceptance,Security testing processes shall be defined and implemented in the development life cycle.
ISO27001:2022-A.8.30,ISO27001:2022,8 Technological controls,Outsourced development,"The organization shall direct, monitor and review the activities related to outsourced system development."
ISO27001:2022-A.8.31,ISO27001:2022,8 Technological controls,"Separation of development, test and production environments","Development, testing and production environments shall be separated and secured."
ISO27001:2022-A.8.32,ISO27001:2022,8 Technological controls,Change management,Changes to information processing facilities and information systems shall be subject to change management procedures.
ISO27001:2022-A.8.33,ISO27001:2022,8 Technological controls,Test information,"Test information shall be appropriately selected, protected and managed."
ISO27001:2022-A.8.34,ISO27001:2022,8 Technological controls,Protection of information systems during audit testing,Audit tests and other assurance activities involving assessment of operational systems shall be planned and agreed between the tester and appropriate management.
NIST CSF v1.1-ID.AM-1,NIST CSF v1.1,IDENTIFY (ID),Asset Management,Physical devices and systems within the organization are inventoried
NIST CSF v1.1-ID.AM-2,NIST CSF v1.1,IDENTIFY (ID),Asset Management,Software platforms and applications within the organization are inventoried
NIST CSF v1.1-ID.AM-3,NIST CSF v1.1,IDENTIFY (ID),Asset Management,Organizational communication and data flows are mapped
NIST CSF v1.1-ID.AM-4,NIST CSF v1.1,IDENTIFY (ID),Asset Management,External information systems are catalogued
NIST CSF v1.1-ID.AM-5,NIST CSF v1.1,IDENTIFY (ID),Asset Management,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value"
NIST CSF v1.1-ID.AM-6,NIST CSF v1.1,IDENTIFY (ID),Asset Management,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established"
NIST CSF v1.1-ID.BE-1,NIST CSF v1.1,IDENTIFY (ID),Business Environment,The organization’s role in the supply chain is identified and communicated
NIST CSF v1.1-ID.BE-2,NIST CSF v1.1,IDENTIFY (ID),Business Environment,The organization’s place in critical infrastructure and its industry sector is identified and communicated
NIST CSF v1.1-ID.BE-3,NIST CSF v1.1,IDENTIFY (ID),Business Environment,"Priorities for organizational mission, objectives, and activities are established and communicated"
NIST CSF v1.1-ID.BE-4,NIST CSF v1.1,IDENTIFY (ID),Business Environment,Dependencies and critical functions for delivery of critical services are established
NIST CSF v1.1-ID.BE-5,NIST CSF v1.1,IDENTIFY (ID),Business Environment,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)"
NIST CSF v1.1-ID.GV-1,NIST CSF v1.1,IDENTIFY (ID),Governance,Organizational cybersecurity policy is established and communicated
NIST CSF v1.1-ID.GV-2,NIST CSF v1.1,IDENTIFY (ID),Governance,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners
NIST CSF v1.1-ID.GV-3,NIST CSF v1.1,IDENTIFY (ID),Governance,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed"
NIST CSF v1.1-ID.GV-4,NIST CSF v1.1,IDENTIFY (ID),Governance,Governance and risk management processes address cybersecurity risks
NIST CSF v1.1-ID.RA-1,NIST CSF v1.1,IDENTIFY (ID),Risk Assessment,Asset vulnerabilities are identified and documented
NIST CSF v1.1-ID.RA-2,NIST CSF v1.1,IDENTIFY (ID),Risk Assessment,Cyber threat intelligence is received from information sharing forums and sources
NIST CSF v1.1-ID.RA-3,NIST CSF v1.1,IDENTIFY (ID),Risk Assessment,"Threats, both internal and external, are identified and documented"
NIST CSF v1.1-ID.RA-4,NIST CSF v1.1,IDENTIFY (ID),Risk Assessment,Potential business impacts and likelihoods are identified
NIST CSF v1.1-ID.RA-5,NIST CSF v1.1,IDENTIFY (ID),Risk Assessment,"Threats, vulnerabilities, likelihoods, and impacts are used to determine risk"
NIST CSF v1.1-ID.RA-6,NIST CSF v1.1,IDENTIFY (ID),Risk Assessment,Risk responses are identified and prioritized
NIST CSF v1.1-ID.RM-1,NIST CSF v1.1,IDENTIFY (ID),Risk Management Strategy,"Risk management processes are established, managed, and agreed to by organizational stakeholders"
NIST CSF v1.1-ID.RM-2,NIST CSF v1.1,IDENTIFY (ID),Risk Management Strategy,Organizational risk tolerance is determined and clearly expressed
NIST CSF v1.1-ID.RM-3,NIST CSF v1.1,IDENTIFY (ID),Risk Management Strategy,The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis
NIST CSF v1.1-ID.SC-1,NIST CSF v1.1,IDENTIFY (ID),Supply Chain Risk Management,"Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders"
NIST CSF v1.1-ID.SC-2,NIST CSF v1.1,IDENTIFY (ID),Supply Chain Risk Management,"Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process"
NIST CSF v1.1-ID.SC-3,NIST CSF v1.1,IDENTIFY (ID),Supply Chain Risk Management,Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan.
NIST CSF v1.1-ID.SC-4,NIST CSF v1.1,IDENTIFY (ID),Supply Chain Risk Management,"Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations."
NIST CSF v1.1-ID.SC-5,NIST CSF v1.1,IDENTIFY (ID),Supply Chain Risk Management,Response and recovery planning and testing are conducted with suppliers and third-party providers
NIST CSF v1.1-PR.AC-1,NIST CSF v1.1,PROTECT (PR),Access Control,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
NIST CSF v1.1-PR.AC-2,NIST CSF v1.1,PROTECT (PR),Access Control,Physical access to assets is managed and protected
NIST CSF v1.1-PR.AC-3,NIST CSF v1.1,PROTECT (PR),Access Control,Remote access is managed
NIST CSF v1.1-PR.AC-4,NIST CSF v1.1,PROTECT (PR),Access Control,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
NIST CSF v1.1-PR.AC-5,NIST CSF v1.1,PROTECT (PR),Access Control,"Network integrity is protected (e.g., network segregation, network segmentation)"
NIST CSF v1.1-PR.AC-6,NIST CSF v1.1,PROTECT (PR),Access Control,Identities are proofed and bound to credentials and asserted in interactions
NIST CSF v1.1-PR.AC-7,NIST CSF v1.1,PROTECT (PR),Access Control,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
NIST CSF v1.1-PR.AT-1,NIST CSF v1.1,PROTECT (PR),Awareness and Training,All users are informed and trained
NIST CSF v1.1-PR.AT-2,NIST CSF v1.1,PROTECT (PR),Awareness and Training,Privileged users understand their roles and responsibilities
NIST CSF v1.1-PR.AT-3,NIST CSF v1.1,PROTECT (PR),Awareness and Training,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities"
NIST CSF v1.1-PR.AT-4,NIST CSF v1.1,PROTECT (PR),Awareness and Training,Senior executives understand their roles and responsibilities
NIST CSF v1.1-PR.AT-5,NIST CSF v1.1,PROTECT (PR),Awareness and Training,Physical and cybersecurity personnel understand their roles and responsibilities
NIST CSF v1.1-PR.DS-1,NIST CSF v1.1,PROTECT (PR),Data Security,Data-at-rest is protected
NIST CSF v1.1-PR.DS-2,NIST CSF v1.1,PROTECT (PR),Data Security,Data-in-transit is protected
NIST CSF v1.1-PR.DS-3,NIST CSF v1.1,PROTECT (PR),Data Security,"Assets are formally managed throughout removal, transfers, and disposition"
NIST CSF v1.1-PR.DS-4,NIST CSF v1.1,PROTECT (PR),Data Security,Adequate capacity to ensure availability is maintained
NIST CSF v1.1-PR.DS-5,NIST CSF v1.1,PROTECT (PR),Data Security,Protections against data leaks are implemented
NIST CSF v1.1-PR.DS-6,NIST CSF v1.1,PROTECT (PR),Data Security,"Integrity checking mechanisms are used to verify software, firmware, and information integrity"
NIST CSF v1.1-PR.DS-7,NIST CSF v1.1,PROTECT (PR),Data Security,The development and testing environment(s) are separate from the production environment
NIST CSF v1.1-PR.DS-8,NIST CSF v1.1,PROTECT (PR),Data Security,Integrity checking mechanisms are used to verify hardware integrity
NIST CSF v1.1-PR.IP-1,NIST CSF v1.1,PROTECT (PR),Information Protection Processes and Procedures,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
NIST CSF v1.1-PR.IP-2,NIST CSF v1.1,PROTECT (PR),Information Protection Processes and Procedures,A System Development Life Cycle to manage systems is implemented
NIST CSF v1.1-PR.IP-3,NIST CSF v1.1,PROTECT (PR),Information Protection Processes and Procedures,Configuration change control processes are in place
NIST CSF v1.1-PR.IP-4,NIST CSF v1.1,PROTECT (PR),Information Protection Processes and Procedures,"Backups of information are conducted, maintained, and tested"
NIST CSF v1.1-PR.IP-5,NIST CSF v1.1,PROTECT (PR),Information Protection Processes and Procedures,Policy and regulations regarding the physical operating environment for organizational assets are met
NIST CSF v1.1-PR.IP-6,NIST CSF v1.1,PROTECT (PR),Information Protection Processes and Procedures,Data is destroyed according to policy
NIST CSF v1.1-PR.IP-7,NIST CSF v1.1,PROTECT (PR),Information Protection Processes and Procedures,Protection processes are improved
NIST CSF v1.1-PR.IP-8,NIST CSF v1.1,PROTECT (PR),Information Protection Processes and Procedures,Effectiveness of protection technologies is shared
NIST CSF v1.1-PR.IP-9,NIST CSF v1.1,PROTECT (PR),Information Protection Processes and Procedures,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed
NIST CSF v1.1-PR.IP-10,NIST CSF v1.1,PROTECT (PR),Information Protection Processes and Procedures,Response and recovery plans are tested
NIST CSF v1.1-PR.IP-11,NIST CSF v1.1,PROTECT (PR),Information Protection Processes and Procedures,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)"
NIST CSF v1.1-PR.IP-12,NIST CSF v1.1,PROTECT (PR),Information Protection Processes and Procedures,A vulnerability management plan is developed and implemented
NIST CSF v1.1-PR.MA-1,NIST CSF v1.1,PROTECT (PR),Maintenance,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools"
NIST CSF v1.1-PR.MA-2,NIST CSF v1.1,PROTECT (PR),Maintenance,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access"
NIST CSF v1.1-PR.PT-1,NIST CSF v1.1,PROTECT (PR),Protective Technology,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
NIST CSF v1.1-PR.PT-2,NIST CSF v1.1,PROTECT (PR),Protective Technology,Removable media is protected and its use restricted according to policy
NIST CSF v1.1-PR.PT-3,NIST CSF v1.1,PROTECT (PR),Protective Technology,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities
NIST CSF v1.1-PR.PT-4,NIST CSF v1.1,PROTECT (PR),Protective Technology,Communications and control networks are protected
NIST CSF v1.1-PR.PT-5,NIST CSF v1.1,PROTECT (PR),Protective Technology,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations"
NIST CSF v1.1-DE.AE-1,NIST CSF v1.1,DETECT (DE),Anomalies and Events,A baseline of network operations and expected data flows for users and systems is established and managed
NIST CSF v1.1-DE.AE-2,NIST CSF v1.1,DETECT (DE),Anomalies and Events,Detected events are analysed to understand attack targets and methods
NIST CSF v1.1-DE.AE-3,NIST CSF v1.1,DETECT (DE),Anomalies and Events,Event data are collected and correlated from multiple sources and sensors
NIST CSF v1.1-DE.AE-4,NIST CSF v1.1,DETECT (DE),Anomalies and Events,Impact of events is determined
NIST CSF v1.1-DE.AE-5,NIST CSF v1.1,DETECT (DE),Anomalies and Events,Incident alert thresholds are established
NIST CSF v1.1-DE.CM-1,NIST CSF v1.1,DETECT (DE),Security Continuous Monitoring,The network is monitored to detect potential cybersecurity events
NIST CSF v1.1-DE.CM-2,NIST CSF v1.1,DETECT (DE),Security Continuous Monitoring,The physical environment is monitored to detect potential cybersecurity events
NIST CSF v1.1-DE.CM-3,NIST CSF v1.1,DETECT (DE),Security Continuous Monitoring,Personnel activity is monitored to detect potential cybersecurity events
NIST CSF v1.1-DE.CM-4,NIST CSF v1.1,DETECT (DE),Security Continuous Monitoring,Malicious code is detected
NIST CSF v1.1-DE.CM-5,NIST CSF v1.1,DETECT (DE),Security Continuous Monitoring,Unauthorized mobile code is detected
NIST CSF v1.1-DE.CM-6,NIST CSF v1.1,DETECT (DE),Security Continuous Monitoring,External service provider activity is monitored to detect potential cybersecurity events
NIST CSF v1.1-DE.CM-7,NIST CSF v1.1,DETECT (DE),Security Continuous Monitoring,"Monitoring for unauthorized personnel, connections, devices, and software is performed"
NIST CSF v1.1-DE.CM-8,NIST CSF v1.1,DETECT (DE),Security Continuous Monitoring,Vulnerability scans are performed
NIST CSF v1.1-DE.DP-1,NIST CSF v1.1,DETECT (DE),Detection Processes,Roles and responsibilities for detection are well defined to ensure accountability
NIST CSF v1.1-DE.DP-2,NIST CSF v1.1,DETECT (DE),Detection Processes,Detection activities comply with all applicable requirements
NIST CSF v1.1-DE.DP-3,NIST CSF v1.1,DETECT (DE),Detection Processes,Detection processes are tested
NIST CSF v1.1-DE.DP-4,NIST CSF v1.1,DETECT (DE),Detection Processes,Event detection information is communicated
NIST CSF v1.1-DE.DP-5,NIST CSF v1.1,DETECT (DE),Detection Processes,Detection processes are continuously improved
NIST CSF v1.1-RS.RP-1,NIST CSF v1.1,RESPOND (RS),Response Planning,Response plan is executed during or after an incident
NIST CSF v1.1-RS.CO-1,NIST CSF v1.1,RESPOND (RS),Response Communications,Personnel know their roles and order of operations when a response is needed
NIST CSF v1.1-RS.CO-2,NIST CSF v1.1,RESPOND (RS),Response Communications,Incidents are reported consistent with established criteria
NIST CSF v1.1-RS.CO-3,NIST CSF v1.1,RESPOND (RS),Response Communications,Information is shared consistent with response plans
NIST CSF v1.1-RS.CO-4,NIST CSF v1.1,RESPOND (RS),Response Communications,Coordination with stakeholders occurs consistent with response plans
